Site,SampleID,Depth,Age,Events,Na,Mg,Al,P,K,Sc,Ti,V,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Y,Zr,Nb,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Pb,Th,U,CaCO3,d13C,d18O,SREY,Ca
762C,12X-5 39,271.4,40.96021782,Lutetian,0.668392232,0.218280528,0.486084497,0.042738598,0.256037282,1.28486303,0.030427419,26.09886746,0.0210732,0.487763852,1.320621563,7.58404796,7.606101528,15.10427498,7.285485609,1144.46699,10.34097972,8.952073403,0.939164934,0.096704457,0.357512356,627.0122749,7.153793012,6.534996216,1.175426077,5.156219724,0.89221329,0.216677734,1.143546486,0.166462883,1.12358365,0.245120872,0.762044364,0.108723261,0.63394955,0.094950882,0.276238076,3.459187697,1.141443112,0.123595881,90.3993715,1.780102318,0.186811945,35.74868772,30.95761207
762C,12X-5 76,271.77,40.97847637,Lutetian,0.559950681,0.19703269,0.418097157,0.039900177,0.215394648,1.165087388,0.020464464,19.86249414,0.024007762,0.370279466,1.088098104,6.647102579,6.755603019,13.54050627,5.993874753,1089.972973,9.697000958,7.424531023,0.74888686,0.072855393,0.307909009,668.8848426,6.547825748,5.49639757,1.031077995,4.502315691,0.795666711,0.191923568,1.021522919,0.145556544,1.023567577,0.232366075,0.699280021,0.098404557,0.622612716,0.095296022,0.213540979,3.038155614,0.904566025,0.108639835,91.28754498,1.814405668,0.335244826,32.20081467,32.20817815
762C,12X-5 99,272,40.98982628,Lutetian,0.905584838,0.245531902,0.581669412,0.038642892,0.262715244,1.232581802,0.028995145,27.03297436,0.019040946,0.548132475,1.727295711,10.15079808,8.265751882,185.0441925,7.332211239,1190.750417,10.35638806,9.537793791,0.9352058,0.123658761,0.365623878,677.8293778,6.919413244,6.176316754,1.137224619,5.042153421,0.895060283,0.209403037,1.160828083,0.160636454,1.096542784,0.247738096,0.745687979,0.102632072,0.639781157,0.093658068,0.291412627,3.766619069,1.168858511,0.124828688,89.76189781,1.742056517,0.0997657,34.98346411,31.62847312
762C,12X-5 131,272.32,41.00561746,Lutetian,0.74958525,0.232575339,0.447337595,0.036895306,0.203508781,1.079101748,0.025807208,19.60646141,0.020551989,0.446339907,1.324648549,7.724540347,6.278407772,163.3774769,5.820824358,1088.213356,8.58209736,7.36110031,0.76567744,0.10456958,0.293986734,635.2179178,5.885981088,5.612385568,0.941466866,4.083749249,0.741414058,0.173026482,0.91374422,0.130550363,0.889657054,0.208465007,0.644736596,0.092954843,0.541386701,0.084166924,0.218052521,3.329327982,0.954893473,0.105515974,91.31355636,1.671002776,0.150545786,29.52578238,32.84486819
762C,12X-6 9,272.6,41.01943474,Lutetian,0.782903905,0.243087939,0.522630813,0.036460498,0.239067696,1.225967536,0.027409276,22.73973099,0.018514496,0.553764332,1.497826012,8.202085085,7.361696723,152.0087317,7.599785665,1194.297858,9.571955196,8.948501326,0.876633389,0.136957952,0.361467651,594.0969793,6.757422792,6.473684349,1.134411903,4.74888634,0.894025456,0.196987636,1.061867233,0.155937268,1.044964142,0.228033377,0.708342585,0.098090504,0.608471656,0.087406428,0.27855411,3.925305998,1.12524244,0.120422053,90.42132856,1.748755253,0.073403214,33.77048686,31.73449163
762C,12X-6 46,272.93,41.0357194,Lutetian,0.700845326,0.215025894,0.356113619,0.029756606,0.147590087,0.870309077,0.015336426,17.78241057,0.019980803,0.390148067,1.165128198,6.882676037,6.652986222,163.9258452,4.232263662,1092.384464,8.203364024,5.352807297,0.52169859,0.519999402,0.226007573,829.7265993,5.458979994,4.441344862,0.826799134,3.52558646,0.639008616,0.143155812,0.816029976,0.119956458,0.836146756,0.196469873,0.610110604,0.085457839,0.513297532,0.076117751,0.160432757,12.83143112,0.722665799,0.090316542,91.54729929,1.840256014,0.302241823,26.49182569,33.38993406
762C,12X-6 64,273.15,41.04657583,Lutetian,0.569447082,0.208150699,0.312243958,0.036715283,0.164980011,0.779631967,0.018253604,15.67098323,0.019894384,0.366891258,0.950936469,5.77829227,5.491825464,32.00199378,4.737712222,1035.330951,8.790033536,5.736655756,0.573541865,0.060574347,0.234497926,689.5385219,5.793622042,4.857577084,0.901396157,3.81522321,0.643884601,0.158922534,0.871214434,0.130549992,0.872288116,0.202546711,0.6406504,0.087741864,0.547629816,0.081076938,0.170987137,3.400748877,0.77660921,0.090987502,92.77939831,1.786686046,0.339467546,28.39435743,33.77281312
762C,12X-6 105,273.56,41.06970718,Lutetian,0.709720956,0.237824113,0.543882331,0.045508161,0.285858534,1.223738471,0.031842553,24.02577356,0.015102035,0.611810741,1.489505101,8.816372777,6.505386069,34.90903107,8.528131338,1193.587585,10.95793135,10.16493169,1.028182008,0.139345471,0.398394982,601.9786817,7.742707219,7.061621208,1.315801437,5.424207223,1.009996965,0.234084421,1.276599119,0.176540141,1.155800388,0.264945342,0.813637468,0.110735972,0.679228026,0.102104559,0.311529043,3.430170508,1.249829337,0.124806185,87.34182113,1.707520412,0.008334819,38.32594084,31.91760733
762C,12X-6 130,273.81,41.0892913,Lutetian,0.567149546,0.191602459,0.31171308,0.043630032,0.158565375,0.862523506,0.015323181,13.09412355,0.017891655,0.359863618,0.831821858,5.203720592,4.713517439,27.34230798,4.503457066,1111.796521,9.510404892,5.413429573,0.516006937,0.069644274,0.219464443,608.4822838,6.366930113,4.674457352,0.925315148,4.041597404,0.708733144,0.16687262,0.96523394,0.134005083,0.985609813,0.221961118,0.689997268,0.095286653,0.583588856,0.091982976,0.156428234,2.587616071,0.711484502,0.08482802,93.30369767,1.825341196,0.237199316,30.16197638,33.0687449
762C,12X-7 9,274.1,41.11200886,Lutetian,0.67659922,0.222836667,0.385024695,0.054668353,0.188823032,0.997027756,0.020133913,17.09085629,0.016693108,0.463196119,1.205327311,7.345521595,5.708078564,35.3850232,5.619198146,1055.388127,9.909432571,6.849183383,0.670958492,0.055287172,0.27399827,656.102496,6.454269848,5.815268216,1.027554058,4.249966666,0.76361618,0.178521705,1.046863923,0.142724325,0.954057809,0.228881784,0.688282299,0.095944909,0.592322498,0.084828079,0.198330282,2.824041721,0.948763534,0.102646506,91.13614284,1.700687797,0.139111112,32.23253487,33.35974925
